pod index,K4.0 Greedy,K4.0 Dynamic,K8s_mostAllocated
"389,0","0,754","0,563","0,725"
"390,0","0,754","0,628","0,725"
"391,0","0,830","0,628","0,725"
"392,0","0,830","0,628","0,725"
"393,0","0,830","0,628","0,725"
"394,0","0,830","0,628","0,725"
"395,0","0,830","0,628","0,725"
"396,0","0,830","0,628","0,725"
"397,0","0,830","0,628","0,725"
"398,0","0,830","0,628","0,725"
"399,0","0,830","0,628","0,725"
"400,0","0,830","0,628","0,811"
"401,0","0,830","0,628","0,811"
"402,0","0,830","0,628","0,811"
"403,0","0,830","0,628","0,811"
"404,0","0,765","0,628","0,811"
"405,0","0,850","0,628","0,811"
"406,0","0,850","0,628","0,811"
"407,0","0,850","0,628","0,811"
"408,0","0,850","0,628","0,811"
"409,0","0,850","0,628","0,811"
"410,0","0,850","0,628","0,811"
"411,0","0,850","0,628","0,811"
"412,0","0,850","0,628","0,811"
"413,0","0,850","0,628","0,811"
