pod index,K4.0 Greedy,K4.0 Dynamic,K8s_leastAllocated
"323,0","0,341","0,421","0,930"
"324,0","0,341","0,421","0,930"
"325,0","0,341","0,421","0,904"
"326,0","0,341","0,421","1,0"
"327,0","0,341","0,421","1,0"
"328,0","0,291","0,421","1,0"
"329,0","0,291","0,421","1,0"
"330,0","0,291","0,421","0,915"
"331,0","0,291","0,421","0,915"
"332,0","0,291","0,421","0,845"
"333,0","0,291","0,421","0,811"
"334,0","0,291","0,421","0,965"
"335,0","0,291","0,421","0,965"
"336,0","0,341","0,421","0,965"
"337,0","0,341","0,421","0,965"
"338,0","0,412","0,421","0,965"
"339,0","0,412","0,421","1,0"
"340,0","0,412","0,421","1,0"
"341,0","0,412","0,421","1,0"
"342,0","0,412","0,421","1,0"
"343,0","0,412","0,421","1,0"
"344,0","0,412","0,421","0,956"
"345,0","0,412","0,421","0,956"
"346,0","0,412","0,421","0,863"
"347,0","0,412","0,421","0,709"
"348,0","0,412","0,421","0,770"
"349,0","0,412","0,421","0,839"
"350,0","0,412","0,421","0,933"
"351,0","0,412","0,421","1,0"
"352,0","0,412","0,421","1,0"
"353,0","0,341","0,421","1,0"
"354,0","0,341","0,421","0,977"
"355,0","0,341","0,421","1,0"
"356,0","0,291","0,421","1,0"
"357,0","0,252","0,421","1,0"
"358,0","0,252","0,421","1,0"
"359,0","0,252","0,421","1,0"
"360,0","0,252","0,421","1,0"
"361,0","0,291","0,421","1,0"
"362,0","0,291","0,421","1,0"
"363,0","0,291","0,421","1,0"
"364,0","0,291","0,421","1,0"
"365,0","0,291","0,421","0,938"
"366,0","0,291","0,421","0,845"
"367,0","0,291","0,421","0,938"
"368,0","0,341","0,421","0,938"
"369,0","0,341","0,421","0,938"
"370,0","0,341","0,421","1,0"
"371,0","0,341","0,421","1,0"
"372,0","0,412","0,421","1,0"
"373,0","0,412","0,421","1,0"
"374,0","0,412","0,421","1,0"
"375,0","0,412","0,421","1,0"
"376,0","0,412","0,421","1,0"
"377,0","0,412","0,421","1,0"
"378,0","0,412","0,421","1,0"
"379,0","0,412","0,421","1,0"
"380,0","0,412","0,421","1,0"
"381,0","0,291","0,421","0,938"
"382,0","0,291","0,421","0,869"
"383,0","0,291","0,421","0,869"
"384,0","0,291","0,421","0,930"
"385,0","0,412","0,421","0,930"
"386,0","0,412","0,421","0,930"
"387,0","0,412","0,421","1,0"
"388,0","0,341","0,421","1,0"
"389,0","0,341","0,421","1,0"
"390,0","0,341","0,421","1,0"
"391,0","0,341","0,421","1,0"
"392,0","0,341","0,421","1,0"
"393,0","0,341","0,421","1,0"
"394,0","0,341","0,421","0,906"
"395,0","0,412","0,421","0,906"
"396,0","0,412","0,421","0,906"
"397,0","0,412","0,421","0,882"
"398,0","0,412","0,421","0,885"
"399,0","0,630","0,421","0,906"
"400,0","0,630","0,421","0,906"
"401,0","0,630","0,421","1,0"
"402,0","0,630","0,421","1,0"
"403,0","0,630","0,421","1,0"
"404,0","0,630","0,421","1,0"
"405,0","0,630","0,421","1,0"
"406,0","0,630","0,421","1,0"
"407,0","0,630","0,421","1,0"
"408,0","0,412","0,421","1,0"
"409,0","0,341","0,421","1,0"
"410,0","0,341","0,421","1,0"
"411,0","0,315","0,421","0,949"
"412,0","0,265","0,421","1,0"
"413,0","0,265","0,421","1,0"
